"contrast","cellline","time","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"Control - Migration","HCC38","0",-1.36152814947527,0.502068004661459,70.850646272355,-2.71184010300226,0.00839070400877094,"X8iso_PGA1",0.17620478418419
"Control - Migration","HCC1143","12",-0.100100377116055,0.502068004661459,70.8506462723537,-0.199376132688542,0.84253961925515,"X8iso_PGA1",0.999999999999906
"Control - Migration","HCC38","12",-0.0399532086010155,0.502068004661459,70.8506462723547,-0.0795772848101637,0.936797802768216,"X8iso_PGA1",0.999999999999991
"Control - Migration","HCC1143","18",0.000421756017399001,0.536870882381916,70.9128978100162,0.000785581843306181,0.999375402243462,"X8iso_PGA1",0.99999999999993
"Control - Migration","HCC38","18",1.05241112033082,0.502068004661459,70.850646272355,2.09615253423777,0.0396413856713556,"X8iso_PGA1",0.41134898167199
"Control - Migration","HCC1143","22",0.153519700989169,0.502068004661459,70.8506462723543,0.305774714906771,0.760672817416626,"X8iso_PGA1",0.999999999999908
"Control - Migration","HCC38","22",0.4483400254512,0.502068004661459,70.8506462723547,0.892986649793612,0.374887450423711,"X8iso_PGA1",0.926192524576228
"Control - Migration","HCC1143","0",-0.05929842329447,0.0663662471553414,70.9999999999988,-0.893502734238866,0.374606693889544,"X9_10_13_TriHOME",0.999999999998754
"Control - Migration","HCC38","0",0.0645386136652872,0.0663662471553416,71.0000000000008,0.972461400660844,0.334122526570465,"X9_10_13_TriHOME",0.944942193014634
"Control - Migration","HCC1143","12",0.0177473026864354,0.0663662471553416,71.0000000000001,0.267414588697396,0.789925241133834,"X9_10_13_TriHOME",0.999999999999906
"Control - Migration","HCC38","12",-0.103504698354142,0.0663662471553416,70.9999999999998,-1.55959848252186,0.123301414334606,"X9_10_13_TriHOME",0.863109900342244
"Control - Migration","HCC1143","18",-0.0157972873360845,0.0709888027467155,71.0000000000001,-0.222532099779854,0.824538606496969,"X9_10_13_TriHOME",0.99999999999993
"Control - Migration","HCC38","18",0.0244694395973916,0.0663662471553416,70.9999999999998,0.368703077938349,0.713446212848442,"X9_10_13_TriHOME",0.999999999999992
"Control - Migration","HCC1143","22",0.161106520121883,0.0663662471553416,70.9999999999998,2.42753699399011,0.0177398121109711,"X9_10_13_TriHOME",0.372536054330394
"Control - Migration","HCC38","22",0.0943186710933141,0.0663662471553417,70.9999999999998,1.42118433896895,0.159640595474905,"X9_10_13_TriHOME",0.689023926722124
"Control - Migration","HCC1143","0",-0.136495933270502,0.123796202971831,71.0000000000018,-1.10258578206604,0.273930486073852,"X9_12_13_TriHOME",0.999999999998754
"Control - Migration","HCC38","0",-0.161237930836463,0.123796202971831,71.0000000000008,-1.30244649646606,0.19697287855115,"X9_12_13_TriHOME",0.919206766572034
"Control - Migration","HCC1143","12",-0.0426438555027569,0.123796202971831,71.0000000000001,-0.344468202408924,0.731512442534614,"X9_12_13_TriHOME",0.999999999999906
"Control - Migration","HCC38","12",0.0223755306269276,0.123796202971831,70.9999999999998,0.180744886271019,0.85708276704874,"X9_12_13_TriHOME",0.999999999999991
"Control - Migration","HCC1143","18",0.0681333495164999,0.132418881739531,70.9999999999998,0.514528960080774,0.608480209908216,"X9_12_13_TriHOME",0.99999999999993
