"contrast","cellline","condition","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"time0 - time18","HCC1143","Control",-2.19961039556122,0.315899113718874,55.9644292151299,-6.96301540598402,2.38038909694538e-08,"LPI18.1",3.15714764436966e-07
"time0 - time22","HCC1143","Control",-2.30584268615593,0.296738531706791,53.0568959887845,-7.77062106795874,1.54197643542631e-09,"LPI18.1",2.66671503545979e-08
"time12 - time18","HCC1143","Control",-0.38287972858531,0.315899113718874,55.9644292151315,-1.21203166440677,0.621904358659312,"LPI18.1",1
"time12 - time22","HCC1143","Control",-0.489112019180023,0.296738531706791,53.0568959887867,-1.64829291419194,0.361031127529681,"LPI18.1",0.93793653749979
"time18 - time22","HCC1143","Control",-0.106232290594713,0.315899113718874,55.9644292151313,-0.336285497430207,0.986760024146421,"LPI18.1",1
"time0 - time12","HCC38","Control",-1.69878225110744,0.296738531706791,53.0568959887865,-5.72484551074752,2.90314131945468e-06,"LPI18.1",1.49304410714812e-05
"time0 - time18","HCC38","Control",-2.25186252584899,0.296738531706791,53.0568959887867,-7.58870953797824,3.01986136097554e-09,"LPI18.1",2.37814082176824e-08
"time0 - time22","HCC38","Control",-2.56163046449916,0.296738531706791,53.0568959887868,-8.63261825070401,6.37446762041805e-11,"LPI18.1",6.17833015517441e-10
"time12 - time18","HCC38","Control",-0.55308027474155,0.296738531706791,53.0568959887867,-1.86386402723072,0.255858088593461,"LPI18.1",0.580867011941912
"time12 - time22","HCC38","Control",-0.86284821339172,0.296738531706791,53.0568959887867,-2.90777273995648,0.0264300715650591,"LPI18.1",0.0876365530841432
"time18 - time22","HCC38","Control",-0.30976793865017,0.296738531706791,53.0568959887868,-1.04390871272577,0.724569653767494,"LPI18.1",1
"time0 - time12","HCC1143","Migration",-1.42466187378238,0.270883979161286,53.0568959887867,-5.25930650529216,1.54434251560254e-05,"LPI18.1",0.000108103976092178
"time0 - time18","HCC1143","Migration",-1.12779458790479,0.270883979161286,53.0568959887865,-4.16338607914974,0.000652148747859349,"LPI18.1",0.00382189498745479
"time0 - time22","HCC1143","Migration",-1.69591048117165,0.270883979161286,53.0568959887868,-6.26065257318852,4.09928932243453e-07,"LPI18.1",3.56214106639138e-06
"time12 - time18","HCC1143","Migration",0.29686728587759,0.270883979161286,53.0568959887865,1.09592042614242,0.693551125568126,"LPI18.1",1
"time12 - time22","HCC1143","Migration",-0.271248607389274,0.270883979161286,53.0568959887867,-1.00134606789636,0.749264712631993,"LPI18.1",1
"time18 - time22","HCC1143","Migration",-0.568115893266864,0.270883979161286,53.0568959887867,-2.09726649403878,0.167252486397252,"LPI18.1",0.602108951030108
"time0 - time12","HCC38","Migration",-1.6068200518656,0.270883979161286,53.0568959887867,-5.93176479775825,1.36781054593804e-06,"LPI18.1",7.65973905725303e-06
"time0 - time18","HCC38","Migration",-2.08121536541027,0.270883979161286,53.0568959887868,-7.68305077271145,2.13084916378392e-09,"LPI18.1",1.73217415894693e-08
"time0 - time22","HCC38","Migration",-2.32694615758029,0.270883979161286,53.0568959887867,-8.5901948309568,7.4690142959355e-11,"LPI18.1",8.55541637534429e-10
"time12 - time18","HCC38","Migration",-0.474395313544673,0.270883979161286,53.0568959887868,-1.75128597495319,0.308100407597682,"LPI18.1",0.675141762735791
"time12 - time22","HCC38","Migration",-0.72012610571469,0.270883979161286,53.0568959887868,-2.65843003319854,0.0492760887395066,"LPI18.1",0.134973634373431
"time18 - time22","HCC38","Migration",-0.245730792170018,0.270883979161286,53.0568959887865,-0.907144058245351,0.80109887510382,"LPI18.1",1
"time0 - time12","HCC1143","Control",0.356763982551264,0.960695372838665,53.0604982206404,0.371360154985546,0.982331860003507,"LPS16.0",1
"time0 - time18","HCC1143","Control",0.382976341827041,1.02220103035379,56.0318270390644,0.374658536290548,0.981884813031033,"LPS16.0",1
"time0 - time22","HCC1143","Control",0.232906261916503,0.960695372838666,53.0604982206399,0.242435082442742,0.994929260792741,"LPS16.0",1
"time12 - time18","HCC1143","Control",0.0262123592757778,1.02220103035379,56.0318270390646,0.0256430569891966,0.999993864546803,"LPS16.0",1
"time12 - time22","HCC1143","Control",-0.123857720634761,0.960695372838669,53.0604982206404,-0.128925072542803,0.999224606202645,"LPS16.0",1
"time18 - time22","HCC1143","Control",-0.150070079910539,1.02220103035379,56.0318270390646,-0.146810730428043,0.998858096591346,"LPS16.0",1
"time0 - time12","HCC38","Control",-0.180963638574722,0.960695372838668,53.060498220641,-0.188367346914568,0.997599562736465,"LPS16.0",1
"time0 - time18","HCC38","Control",-0.275389055979217,0.960695372838669,53.0604982206408,-0.286655961676484,0.991694402303606,"LPS16.0",1
"time0 - time22","HCC38","Control",-0.354495042236649,0.960695372838668,53.060498220641,-0.368998386230575,0.982654972418759,"LPS16.0",1
"time12 - time18","HCC38","Control",-0.0944254174044949,0.960695372838669,53.0604982206406,-0.0982886147619158,0.999655478780791,"LPS16.0",1
"time12 - time22","HCC38","Control",-0.173531403661927,0.960695372838668,53.0604982206406,-0.180631039316006,0.997880955232211,"LPS16.0",1
"time18 - time22","HCC38","Control",-0.0791059862574318,0.960695372838669,53.0604982206408,-0.0823424245540904,0.999797197880553,"LPS16.0",1
"time0 - time12","HCC1143","Migration",-1.27031765296858,0.876990877657624,53.060498220641,-1.44849585706239,0.47544080257595,"LPS16.0",1
"time0 - time18","HCC1143","Migration",-0.0128302955232225,0.876990877657624,53.060498220641,-0.0146299076194398,0.999998859603889,"LPS16.0",1
"time0 - time22","HCC1143","Migration",-1.48601758706628,0.876990877657624,53.0604982206406,-1.69445044974165,0.336730793835499,"LPS16.0",1
"time12 - time18","HCC1143","Migration",1.25748735744535,0.876990877657624,53.0604982206408,1.43386594944295,0.484291614446564,"LPS16.0",1
"time12 - time22","HCC1143","Migration",-0.215699934097706,0.876990877657624,53.0604982206406,-0.245954592679258,0.994708781222537,"LPS16.0",1
"time18 - time22","HCC1143","Migration",-1.47318729154306,0.876990877657625,53.0604982206408,-1.67982054212221,0.344333823153284,"LPS16.0",1
"time0 - time12","HCC38","Migration",-0.0871160591678032,0.876990877657624,53.060498220641,-0.0993351942274288,0.999644384882407,"LPS16.0",1
"time0 - time18","HCC38","Migration",-0.361747874854358,0.876990877657625,53.0604982206406,-0.412487614261803,0.976090116414617,"LPS16.0",1
"time0 - time22","HCC38","Migration",-0.221576408888681,0.876990877657625,53.0604982206408,-0.252655317784485,0.994271973772369,"LPS16.0",1
"time12 - time18","HCC38","Migration",-0.274631815686555,0.876990877657624,53.060498220641,-0.313152420034375,0.989239170601683,"LPS16.0",1
"time12 - time22","HCC38","Migration",-0.134460349720878,0.876990877657623,53.060498220641,-0.153320123557056,0.998699455182073,"LPS16.0",1
"time18 - time22","HCC38","Migration",0.140171465965677,0.876990877657625,53.0604982206404,0.159832296477318,0.998527784318063,"LPS16.0",1
"time0 - time12","HCC1143","Control",-0.263971947815019,0.201359210476121,53.0366563245171,-1.31095045114076,0.560171143331527,"LPS18.0",1
"time0 - time18","HCC1143","Control",-0.216435256347871,0.215044294210878,55.5019011910646,-1.00646825874687,0.746299191344402,"LPS18.0",1
"time0 - time22","HCC1143","Control",-0.245748742294396,0.201359210476121,53.0366563245171,-1.22044947292609,0.616797417625317,"LPS18.0",1
"time12 - time18","HCC1143","Control",0.0475366914671476,0.215044294210878,55.501901191064,0.221055348813542,0.996143088320223,"LPS18.0",1
"time12 - time22","HCC1143","Control",0.0182232055206228,0.201359210476121,53.0366563245168,0.0905009782146708,0.999730895129052,"LPS18.0",1
"time18 - time22","HCC1143","Control",-0.0293134859465248,0.215044294210878,55.5019011910642,-0.136313711805714,0.999084757537073,"LPS18.0",1
"time0 - time12","HCC38","Control",0.385806881490603,0.201359210476121,53.0366563245166,1.91601308218456,0.233750296982273,"LPS18.0",0.540413530637916
"time0 - time18","HCC38","Control",0.18731580003141,0.201359210476121,53.0366563245166,0.930256925364847,0.788786940805543,"LPS18.0",1
"time0 - time22","HCC38","Control",0.529616134855532,0.201359210476122,53.0366563245164,2.63020565884835,0.0527275627770498,"LPS18.0",0.156321715527254
"time12 - time18","HCC38","Control",-0.198491081459193,0.201359210476122,53.0366563245168,-0.985756156819711,0.758129408851031,"LPS18.0",1
"time12 - time22","HCC38","Control",0.143809253364929,0.201359210476121,53.0366563245168,0.714192576663797,0.891029708053293,"LPS18.0",1
"time18 - time22","HCC38","Control",0.342300334824122,0.201359210476121,53.0366563245168,1.69994873348351,0.333902111666368,"LPS18.0",0.695399439172932
"time0 - time12","HCC1143","Migration",0.0545434238427588,0.183814969565337,53.036656324517,0.296730043106589,0.990808796835547,"LPS18.0",1
"time0 - time18","HCC1143","Migration",0.162394500230059,0.183814969565337,53.0366563245168,0.883467220401415,0.813407356167596,"LPS18.0",1
"time0 - time22","HCC1143","Migration",-0.0680657374490067,0.183814969565337,53.0366563245168,-0.370294854711562,0.98247798124012,"LPS18.0",1
"time12 - time18","HCC1143","Migration",0.1078510763873,0.183814969565337,53.0366563245168,0.586737177294826,0.935657535879604,"LPS18.0",1
"time12 - time22","HCC1143","Migration",-0.122609161291765,0.183814969565337,53.0366563245168,-0.667024897818151,0.909016897879627,"LPS18.0",1
"time18 - time22","HCC1143","Migration",-0.230460237679066,0.183814969565337,53.0366563245164,-1.25376207511298,0.595959844541899,"LPS18.0",1
"time0 - time12","HCC38","Migration",0.596304391776971,0.183814969565337,53.0366563245171,3.24404695214453,0.0106728318361377,"LPS18.0",0.0358607149694225
"time0 - time18","HCC38","Migration",0.609992387983897,0.183814969565337,53.0366563245168,3.31851311906931,0.00864881685273911,"LPS18.0",0.0302708589845869
"time0 - time22","HCC38","Migration",0.654640107172456,0.183814969565337,53.0366563245166,3.56140802199336,0.00426281930597838,"LPS18.0",0.0155685574653124
"time12 - time18","HCC38","Migration",0.0136879962069264,0.183814969565337,53.0366563245171,0.0744661669247834,0.999849930102266,"LPS18.0",1
"time12 - time22","HCC38","Migration",0.058335715395485,0.183814969565337,53.0366563245171,0.317361069848827,0.988811040776902,"LPS18.0",1
"time18 - time22","HCC38","Migration",0.0446477191885586,0.183814969565337,53.0366563245168,0.242894902924043,0.99490077280228,"LPS18.0",1
"time0 - time12","HCC1143","Control",0.089718977578003,0.174240855742525,53.0299877151876,0.514913549957426,0.955170291150361,"LPS18.1",1
"time0 - time18","HCC1143","Control",-0.0625685941137052,0.186305794243039,55.3056082849475,-0.335838154513237,0.986809532412446,"LPS18.1",1
"time0 - time22","HCC1143","Control",-0.159593648423553,0.174240855742524,53.0299877151871,-0.915937009970753,0.796448634787203,"LPS18.1",1
"time12 - time18","HCC1143","Control",-0.152287571691708,0.186305794243039,55.3056082849459,-0.817406524099011,0.845991451941233,"LPS18.1",1
"time12 - time22","HCC1143","Control",-0.249312626001556,0.174240855742524,53.0299877151856,-1.43085055992818,0.48612539253023,"LPS18.1",1
"time18 - time22","HCC1143","Control",-0.097025054309848,0.186305794243039,55.3056082849457,-0.520783879557053,0.953744103401859,"LPS18.1",1
"time0 - time12","HCC38","Control",1.78216859229144,0.174240855742524,53.0299877151851,10.2281900803159,0,"LPS18.1",0
"time0 - time18","HCC38","Control",1.60454742602799,0.174240855742524,53.0299877151853,9.20878986268883,6.3155036755802e-12,"LPS18.1",7.95753463123106e-11
"time0 - time22","HCC38","Control",1.97166622539965,0.174240855742524,53.0299877151853,11.3157515038446,0,"LPS18.1",0
"time12 - time18","HCC38","Control",-0.177621166263457,0.174240855742524,53.0299877151851,-1.01940021762708,0.738874476713931,"LPS18.1",1
"time12 - time22","HCC38","Control",0.189497633108204,0.174240855742524,53.0299877151853,1.08756142352873,0.698591094343125,"LPS18.1",1
"time18 - time22","HCC38","Control",0.367118799371661,0.174240855742524,53.0299877151853,2.10696164115581,0.164147109650517,"LPS18.1",0.404347360833798
"time0 - time12","HCC1143","Migration",-0.101874282974117,0.159059411881973,53.0299877151851,-0.64047943952987,0.918385788398393,"LPS18.1",1
"time0 - time18","HCC1143","Migration",-0.20911543791109,0.159059411881974,53.0299877151853,-1.31470018301249,0.557829617515304,"LPS18.1",1
"time0 - time22","HCC1143","Migration",-0.253801332506669,0.159059411881974,53.0299877151853,-1.59563856991371,0.389827447563996,"LPS18.1",1
"time12 - time18","HCC1143","Migration",-0.107241154936972,0.159059411881974,53.0299877151853,-0.67422074348262,0.906382808539666,"LPS18.1",1
"time12 - time22","HCC1143","Migration",-0.151927049532551,0.159059411881974,53.0299877151853,-0.955159130383843,0.775213427299076,"LPS18.1",1
"time18 - time22","HCC1143","Migration",-0.044685894595579,0.159059411881974,53.0299877151853,-0.280938386901223,0.992171508851075,"LPS18.1",1
"time0 - time12","HCC38","Migration",1.36157784267807,0.159059411881974,53.0299877151853,8.56018406309965,8.38222824484092e-11,"LPS18.1",9.18400659869527e-10
"time0 - time18","HCC38","Migration",1.82667270116646,0.159059411881974,53.0299877151853,11.4842163664097,0,"LPS18.1",0
"time0 - time22","HCC38","Migration",1.82580832297834,0.159059411881974,53.0299877151853,11.4787820561863,0,"LPS18.1",0
"time12 - time18","HCC38","Migration",0.465094858488386,0.159059411881974,53.0299877151853,2.92403230331003,0.0253429622093757,"LPS18.1",0.0808408414780086
"time12 - time22","HCC38","Migration",0.464230480300266,0.159059411881974,53.0299877151853,2.91859799308662,0.0257030205002426,"LPS18.1",0.0809645145757643
"time18 - time22","HCC38","Migration",-0.000864378188120046,0.159059411881974,53.0299877151851,-0.0054343102234116,0.999999941547991,"LPS18.1",1
"time0 - time12","HCC1143","Control",0.256023264059164,0.0756125533335903,53.0319563747515,3.38598887052036,0.00712901642193242,"Sphingosine1P16.1",0.0338964554401315
"time0 - time18","HCC1143","Control",0.294158084681057,0.0808187780445812,55.3666259259673,3.63972447738314,0.00327795433482114,"Sphingosine1P16.1",0.0168580508647945
"time0 - time22","HCC1143","Control",0.574579368791296,0.0756125533335902,53.0319563747513,7.59899439258909,2.91528623463932e-09,"Sphingosine1P16.1",4.32148312428888e-08
"time12 - time18","HCC1143","Control",0.0381348206218931,0.0808187780445812,55.3666259259675,0.47185594170772,0.964944966865851,"Sphingosine1P16.1",1
"time12 - time22","HCC1143","Control",0.318556104732132,0.0756125533335903,53.0319563747513,4.21300552206873,0.000555175728118806,"Sphingosine1P16.1",0.00310898407746532
"time18 - time22","HCC1143","Control",0.280421284110239,0.0808187780445812,55.3666259259673,3.46975407071304,0.00545765338022197,"Sphingosine1P16.1",0.0275065730363187
"time0 - time12","HCC38","Control",0.345929195742954,0.0756125533335903,53.0319563747518,4.57502333265708,0.000166533207008324,"Sphingosine1P16.1",0.000723558071829268
"time0 - time18","HCC38","Control",0.256223993854168,0.0756125533335903,53.0319563747518,3.3886435857251,0.00707463720272183,"Sphingosine1P16.1",0.0274278242320908
"time0 - time22","HCC38","Control",0.485228778915601,0.0756125533335903,53.031956374752,6.41730450200313,2.3066906573721e-07,"Sphingosine1P16.1",1.41777084306773e-06
"time12 - time18","HCC38","Control",-0.0897052018887853,0.0756125533335903,53.031956374752,-1.18637974693197,0.63802960431161,"Sphingosine1P16.1",1
"time12 - time22","HCC38","Control",0.139299583172648,0.0756125533335903,53.031956374752,1.84228116934605,0.265405634240941,"Sphingosine1P16.1",0.589841647828315
"time18 - time22","HCC38","Control",0.229004785061433,0.0756125533335904,53.0319563747518,3.02866091627803,0.0192401671864189,"Sphingosine1P16.1",0.0664181113832541
"time0 - time12","HCC1143","Migration",0.376694412848738,0.0690245018189498,53.0319563747518,5.45740139982178,7.62433040590871e-06,"Sphingosine1P16.1",5.78939695074531e-05
"time0 - time18","HCC1143","Migration",0.456209583852872,0.0690245018189498,53.031956374752,6.60938611407153,1.13532745427136e-07,"Sphingosine1P16.1",1.19209382698493e-06
"time0 - time22","HCC1143","Migration",0.737297289960318,0.0690245018189498,53.0319563747522,10.6816749202224,0,"Sphingosine1P16.1",0
"time12 - time18","HCC1143","Migration",0.0795151710041343,0.0690245018189498,53.0319563747518,1.15198471424975,0.659321052593244,"Sphingosine1P16.1",1
"time12 - time22","HCC1143","Migration",0.36060287711158,0.0690245018189498,53.031956374752,5.22427352040056,1.75047260260186e-05,"Sphingosine1P16.1",0.000119221377258289
"time18 - time22","HCC1143","Migration",0.281087706107446,0.0690245018189499,53.031956374752,4.07228880615081,0.000875482837945585,"Sphingosine1P16.1",0.00490335774525112
"time0 - time12","HCC38","Migration",0.257110260092666,0.0690245018189498,53.031956374752,3.72491294130688,0.00260245740577225,"Sphingosine1P16.1",0.00993665554931223
"time0 - time18","HCC38","Migration",0.400741049139725,0.0690245018189499,53.031956374752,5.80577966634025,2.16710153233546e-06,"Sphingosine1P16.1",1.13772830447612e-05
"time0 - time22","HCC38","Migration",0.441499307829787,0.0690245018189499,53.031956374752,6.39626938543986,2.49262438689613e-07,"Sphingosine1P16.1",1.57035336374456e-06
